fam_names,morph_scores,phon_scores
Austronesian,3.6041250000000007,1.866625
Indo-European,2.860666666666667,2.4498333333333333
Altaic,3.5553333333333335,2.3666666666666667
Uralic,3.388666666666667,2.9890000000000003
Pama-Nyungan,2.833,2.0665
