Bee index ,bee colony,task,Trails,Position of stimulus,response (1= correct; 0= incorrect),,
1,1,bigger-than,28,1,1,,
1,1,bigger-than,28,5,0,,
1,1,bigger-than,28,6,1,,
1,1,bigger-than,28,3,0,,
1,1,bigger-than,29,6,0,,
1,1,bigger-than,29,5,1,,
1,1,bigger-than,29,4,1,,
1,1,bigger-than,29,1,1,,
1,1,bigger-than,29,2,0,,
1,1,bigger-than,30,3,1,,
1,1,bigger-than,30,2,1,,
1,1,bigger-than,30,1,1,,
2,1,bigger-than,1,1,1,,
2,1,bigger-than,1,6,0,,
2,1,bigger-than,1,3,1,,
2,1,bigger-than,1,5,1,,
2,1,bigger-than,2,5,0,,
2,1,bigger-than,2,6,1,,
2,1,bigger-than,2,3,0,,
2,1,bigger-than,2,2,1,,
2,1,bigger-than,2,4,1,,
2,1,bigger-than,3,6,1,,
2,1,bigger-than,3,3,0,,
2,1,bigger-than,3,5,0,,
2,1,bigger-than,3,2,1,,
2,1,bigger-than,4,6,0,,
2,1,bigger-than,4,5,1,,
2,1,bigger-than,4,2,0,,
2,1,bigger-than,5,6,0,,
2,1,bigger-than,5,3,1,,
2,1,bigger-than,5,6,0,,
2,1,bigger-than,5,5,1,,
2,1,bigger-than,5,1,0,,
2,1,bigger-than,6,6,0,,
2,1,bigger-than,6,5,1,,
2,1,bigger-than,6,6,0,,
2,1,bigger-than,6,3,0,,
2,1,bigger-than,6,2,0,,
2,1,bigger-than,6,4,1,,
2,1,bigger-than,6,5,1,,
2,1,bigger-than,6,2,0,,
2,1,bigger-than,6,1,1,,
2,1,bigger-than,6,4,1,,
2,1,bigger-than,6,6,0,,
2,1,bigger-than,6,1,1,,
2,1,bigger-than,6,3,0,,
2,1,bigger-than,6,5,1,,
2,1,bigger-than,7,2,1,,
2,1,bigger-than,7,6,0,,
2,1,bigger-than,7,2,1,,
2,1,bigger-than,7,1,1,,
2,1,bigger-than,7,5,0,,
2,1,bigger-than,7,3,1,,
2,1,bigger-than,7,1,1,,
2,1,bigger-than,7,4,0,,
2,1,bigger-than,7,3,1,,
2,1,bigger-than,8,5,1,,
2,1,bigger-than,8,6,1,,
2,1,bigger-than,8,4,0,,
2,1,bigger-than,8,5,1,,
2,1,bigger-than,8,4,0,,
2,1,bigger-than,8,1,1,,
2,1,bigger-than,9,3,0,,
2,1,bigger-than,9,2,1,,
2,1,bigger-than,9,6,0,,
2,1,bigger-than,9,3,0,,
2,1,bigger-than,9,4,0,,
2,1,bigger-than,9,1,1,,
2,1,bigger-than,9,5,1,,
2,1,bigger-than,9,5,1,,
2,1,bigger-than,9,6,0,,
2,1,bigger-than,9,3,0,,
2,1,bigger-than,9,2,1,,
2,1,bigger-than,9,4,0,,
2,1,bigger-than,9,1,1,,
2,1,bigger-than,10,2,0,,
2,1,bigger-than,10,3,1,,
2,1,bigger-than,10,5,0,,
2,1,bigger-than,10,1,1,,
2,1,bigger-than,10,2,0,,
2,1,bigger-than,10,6,1,,
2,1,bigger-than,11,2,1,,
2,1,bigger-than,11,4,1,,
2,1,bigger-than,11,6,0,,
2,1,bigger-than,11,3,1,,
2,1,bigger-than,12,6,1,,
2,1,bigger-than,12,5,0,,
2,1,bigger-than,12,1,0,,
2,1,bigger-than,12,4,1,,
2,1,bigger-than,12,2,0,,
2,1,bigger-than,12,3,1,,
2,1,bigger-than,13,5,1,,
2,1,bigger-than,13,3,1,,
2,1,bigger-than,13,6,0,,
2,1,bigger-than,14,5,1,,
2,1,bigger-than,14,1,0,,
2,1,bigger-than,14,5,1,,
2,1,bigger-than,14,4,0,,
2,1,bigger-than,14,2,1,,
2,1,bigger-than,15,5,1,,
2,1,bigger-than,15,6,1,,
2,1,bigger-than,15,3,1,,
2,1,bigger-than,15,2,0,,
2,1,bigger-than,16,2,1,,
2,1,bigger-than,16,3,0,,
2,1,bigger-than,16,1,1,,
2,1,bigger-than,16,3,0,,
2,1,bigger-than,16,2,1,,
2,1,bigger-than,17,4,0,,
2,1,bigger-than,17,1,1,,
2,1,bigger-than,17,2,1,,
2,1,bigger-than,17,6,0,,
2,1,bigger-than,17,3,1,,
2,1,bigger-than,18,6,1,,
2,1,bigger-than,18,2,0,,
2,1,bigger-than,18,1,0,,
2,1,bigger-than,18,6,1,,
2,1,bigger-than,18,4,1,,
2,1,bigger-than,18,5,1,,
