fam_names,morph_scores,phon_scores
Afro-Asiatic,6.444333333333333,3.9163333333333337
Austronesian,5.222,3.5496666666666665
Indo-European,5.479000000000001,3.708
Altaic,6.388333333333333,3.3663333333333334
Uralic,5.999666666666667,4.683000000000001
Hokan,6.75,2.3665000000000003
Niger-Congo,4.833,4.458
