,language_name,latitude,longitude,genus,family,1A,2A,3A,4A,5A,6A,7A,8A,10A,11A,12A,13A,18A,19A,9A,20A,21A,21B,26A,28A,29A,14A,15A,16A,22A,23A,24A,25A,25B,27A,17A,10B
eya,Eyak,60.5,-145.0,Eyak,Na-Dene,"{'value': 4, 'description': 'Moderately large'}","{'value': 1, 'description': 'Small (2-4)'}","{'value': 5, 'description': 'High'}","{'value': 2, 'description': 'In plosives alone'}","{'value': 1, 'description': 'Other'}","{'value': 4, 'description': 'Uvular stops and continuants'}","{'value': 2, 'description': 'Ejectives only'}","{'value': 4, 'description': '/l/ and lateral obstruent'}",,"{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Complex'}","{'value': 1, 'description': 'No tones'}","{'value': 5, 'description': 'No bilabials or nasals'}","{'value': 1, 'description': 'Nan'}",,,,,,,,,,,,,,,,,,
fas,Fasu,-6.58333333333,143.333333333,Fasu,Trans-New Guinea,"{'value': 1, 'description': 'Small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 2, 'description': 'Moderately low'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 1, 'description': 'No laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'Simple'}","{'value': 2, 'description': 'Simple tone system'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
fef,Fe'fe',5.25,10.1666666667,Wide Grassfields,Niger-Congo,"{'value': 2, 'description': 'Moderately small'}","{'value': 3, 'description': 'Large (7-14)'}","{'value': 2, 'description': 'Moderately low'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 3, 'description': 'Missing /p/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 1, 'description': 'No laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 3, 'description': 'Complex tone system'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,,,,,,,,,,,,,,
fij,Fijian,-17.8333333333,178.0,Oceanic,Austronesian,"{'value': 3, 'description': 'Average'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'Simple'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 5, 'description': ""'Th' sounds""}","{'value': 1, 'description': 'Initial velar nasal'}","{'value': 2, 'description': 'Exclusively isolating'}","{'value': 5, 'description': 'No case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 1, 'description': 'Little affixation'}","{'value': 2, 'description': 'Core cases only'}","{'value': 1, 'description': 'No subject person/number marking'}","{'value': 1, 'description': 'No fixed stress'}","{'value': 3, 'description': 'Right-edge: Ultimate or penultimate'}","{'value': 2, 'description': 'Long vowel'}","{'value': 4, 'description': '6-7 categories per word'}","{'value': 1, 'description': 'Head marking'}","{'value': 1, 'description': 'Head marking'}","{'value': 1, 'description': 'Head-marking'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 2, 'description': 'Full reduplication only'}","{'value': 1, 'description': 'Trochaic'}",
fin,Finnish,62.0,25.0,Finnic,Uralic,"{'value': 2, 'description': 'Moderately small'}","{'value': 3, 'description': 'Large (7-14)'}","{'value': 2, 'description': 'Moderately low'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 2, 'description': 'High and mid'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'No initial velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 2, 'description': 'Case + number'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 2, 'description': 'Strongly suffixing'}","{'value': 3, 'description': 'Core and non-core'}","{'value': 3, 'description': 'Not syncretic'}","{'value': 2, 'description': 'Initial'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}","{'value': 2, 'description': '2-3 categories per word'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 3, 'description': 'Double marking'}","{'value': 5, 'description': 'Inconsistent or other'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 3, 'description': 'No productive reduplication'}","{'value': 1, 'description': 'Trochaic'}",
fre,French,48.0,2.0,Romance,Indo-European,"{'value': 3, 'description': 'Average'}","{'value': 3, 'description': 'Large (7-14)'}","{'value': 1, 'description': 'Low'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 3, 'description': 'Uvular continuants only'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 1, 'description': 'Contrast present'}","{'value': 2, 'description': 'High and mid'}","{'value': 3, 'description': 'Complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'No velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 5, 'description': 'No case'}","{'value': 2, 'description': 'TAM+agreement'}","{'value': 2, 'description': 'Strongly suffixing'}","{'value': 3, 'description': 'Core and non-core'}","{'value': 2, 'description': 'Syncretic'}","{'value': 1, 'description': 'No fixed stress'}","{'value': 3, 'description': 'Right-edge: Ultimate or penultimate'}","{'value': 5, 'description': 'Prominence'}","{'value': 3, 'description': '4-5 categories per word'}","{'value': 4, 'description': 'No marking'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 5, 'description': 'Inconsistent or other'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 3, 'description': 'No productive reduplication'}","{'value': 4, 'description': 'Undetermined'}",
ful,Fulniô,-8.0,-37.5,Fulniô,Fulniô,"{'value': 3, 'description': 'Average'}","{'value': 3, 'description': 'Large (7-14)'}","{'value': 3, 'description': 'Average'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Complex'}","{'value': 2, 'description': 'Simple tone system'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,"{'value': 4, 'description': 'Equal prefixing and suffixing'}",,,,,,,,,,,,,
fur,Fur,13.5,25.0,Fur,Fur,"{'value': 2, 'description': 'Moderately small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 2, 'description': 'Moderately low'}","{'value': 2, 'description': 'In plosives alone'}","{'value': 3, 'description': 'Missing /p/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 2, 'description': 'Simple tone system'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'Initial velar nasal'}",,,,"{'value': 3, 'description': 'Weakly suffixing'}","{'value': 1, 'description': 'No case marking'}","{'value': 3, 'description': 'Not syncretic'}",,,,,"{'value': 2, 'description': 'Dependent marking'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 2, 'description': 'Dependent-marking'}","{'value': 2, 'description': 'Non-zero marking'}",,,
fuz,Fuzhou,26.0,119.5,Chinese,Sino-Tibetan,"{'value': 1, 'description': 'Small'}","{'value': 3, 'description': 'Large (7-14)'}","{'value': 2, 'description': 'Moderately low'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 2, 'description': 'High and mid'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 3, 'description': 'Complex tone system'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,,,,,,,,,,,,,,
fye,Fyem,9.58333333333,9.33333333333,Benue-Congo Plateau,Niger-Congo,"{'value': 5, 'description': 'Large'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 5, 'description': 'High'}","{'value': 3, 'description': 'In fricatives alone'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Implosives only'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 2, 'description': 'Simple tone system'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,"{'value': 3, 'description': 'Weakly suffixing'}",,,,,,,,,,,,,
gds,Gadsup,-6.25,146.0,Gauwa,Trans-New Guinea,"{'value': 1, 'description': 'Small'}","{'value': 1, 'description': 'Small (2-4)'}","{'value': 3, 'description': 'Average'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 1, 'description': 'No laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 3, 'description': 'Complex tone system'}","{'value': 3, 'description': 'No fricatives'}","{'value': 1, 'description': 'Nan'}",,,,,"{'value': 3, 'description': 'Weakly suffixing'}",,,,,,,,,,,,,
gar,Garo,25.6666666667,90.5,Brahmaputran,Sino-Tibetan,"{'value': 2, 'description': 'Moderately small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 2, 'description': 'In plosives alone'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 1, 'description': 'No laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'No initial velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 1, 'description': 'Monoexponential case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 2, 'description': 'Strongly suffixing'}","{'value': 4, 'description': 'No syncretism'}","{'value': 1, 'description': 'No subject person/number marking'}",,,,"{'value': 2, 'description': '2-3 categories per word'}",,,,,"{'value': 1, 'description': 'Productive full and partial reduplication'}",,
grr,Garrwa,-17.0833333333,137.166666667,Garrwan,Garrwan,"{'value': 3, 'description': 'Average'}","{'value': 1, 'description': 'Small (2-4)'}","{'value': 4, 'description': 'Moderately high'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 1, 'description': 'No tones'}","{'value': 3, 'description': 'No fricatives'}","{'value': 1, 'description': 'Nan'}",,,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,"{'value': 2, 'description': 'Initial'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}",,"{'value': 2, 'description': 'Dependent marking'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 2, 'description': 'Dependent-marking'}","{'value': 2, 'description': 'Non-zero marking'}",,"{'value': 1, 'description': 'Trochaic'}",
gbb,Gbeya Bossangoa,6.66666666667,17.5,Gbaya-Manza-Ngbaka,Niger-Congo,"{'value': 4, 'description': 'Moderately large'}","{'value': 3, 'description': 'Large (7-14)'}","{'value': 3, 'description': 'Average'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Implosives only'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 2, 'description': 'Simple tone system'}","{'value': 1, 'description': 'All present'}","{'value': 3, 'description': 'Labial-velars'}",,,,,"{'value': 2, 'description': 'Strongly suffixing'}",,,,,,,,,,,,,
gla,Gelao,22.9166666667,105.5,Kadai,Tai-Kadai,"{'value': 4, 'description': 'Moderately large'}","{'value': 3, 'description': 'Large (7-14)'}","{'value': 3, 'description': 'Average'}","{'value': 3, 'description': 'In fricatives alone'}","{'value': 1, 'description': 'Other'}","{'value': 2, 'description': 'Uvular stops only'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 3, 'description': 'Complex tone system'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,,,,,,,,,,,,,,
geo,Georgian,42.0,44.0,Kartvelian,Kartvelian,"{'value': 4, 'description': 'Moderately large'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 4, 'description': 'Moderately high'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 1, 'description': 'Other'}","{'value': 4, 'description': 'Uvular stops and continuants'}","{'value': 2, 'description': 'Ejectives only'}","{'value': 3, 'description': 'Laterals, but no /l/, no obstruent laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'No velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 1, 'description': 'Monoexponential case'}","{'value': 2, 'description': 'TAM+agreement'}","{'value': 3, 'description': 'Weakly suffixing'}","{'value': 3, 'description': 'Core and non-core'}","{'value': 3, 'description': 'Not syncretic'}","{'value': 5, 'description': 'Antepenultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}","{'value': 5, 'description': '8-9 categories per word'}","{'value': 3, 'description': 'Double marking'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 5, 'description': 'Inconsistent or other'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 1, 'description': 'Productive full and partial reduplication'}","{'value': 1, 'description': 'Trochaic'}",
ger,German,52.0,10.0,Germanic,Indo-European,"{'value': 3, 'description': 'Average'}","{'value': 3, 'description': 'Large (7-14)'}","{'value': 1, 'description': 'Low'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 3, 'description': 'Uvular continuants only'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 2, 'description': 'High and mid'}","{'value': 3, 'description': 'Complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'No initial velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 2, 'description': 'Case + number'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 2, 'description': 'Strongly suffixing'}","{'value': 3, 'description': 'Core and non-core'}","{'value': 2, 'description': 'Syncretic'}","{'value': 1, 'description': 'No fixed stress'}","{'value': 4, 'description': 'Right-oriented: One of the last three'}","{'value': 3, 'description': 'Coda consonant'}","{'value': 2, 'description': '2-3 categories per word'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 2, 'description': 'Dependent-marking'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 3, 'description': 'No productive reduplication'}","{'value': 1, 'description': 'Trochaic'}",
goa,Goajiro,12.0,-72.0,Guajiro-Paraujano,Arawakan,"{'value': 1, 'description': 'Small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 3, 'description': 'Laterals, but no /l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}",,,"{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,"{'value': 3, 'description': 'Weakly suffixing'}",,,,,,,,,,,,,
goo,Gooniyandi,-18.3333333333,126.333333333,Bunuban,Bunuban,"{'value': 3, 'description': 'Average'}","{'value': 1, 'description': 'Small (2-4)'}","{'value': 4, 'description': 'Moderately high'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 1, 'description': 'No tones'}","{'value': 3, 'description': 'No fricatives'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'Initial velar nasal'}","{'value': 7, 'description': 'Isolating/concatenative'}","{'value': 1, 'description': 'Monoexponential case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 5, 'description': 'Weakly prefixing'}","{'value': 1, 'description': 'No case marking'}","{'value': 3, 'description': 'Not syncretic'}","{'value': 2, 'description': 'Initial'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 4, 'description': 'Long vowel or coda consonant'}","{'value': 4, 'description': '6-7 categories per word'}","{'value': 3, 'description': 'Double marking'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 5, 'description': 'Inconsistent or other'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 1, 'description': 'Productive full and partial reduplication'}","{'value': 1, 'description': 'Trochaic'}",
gan,Great Andamanese,12.0,92.6666666667,Great Andamanese,Great Andamanese,"{'value': 3, 'description': 'Average'}","{'value': 3, 'description': 'Large (7-14)'}","{'value': 3, 'description': 'Average'}","{'value': 2, 'description': 'In plosives alone'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 3, 'description': 'Laterals, but no /l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 1, 'description': 'No tones'}","{'value': 3, 'description': 'No fricatives'}","{'value': 1, 'description': 'Nan'}",,,,,,,,,,,,,,,,,,
grb,Grebo,5.0,-8.0,Kru,Niger-Congo,"{'value': 3, 'description': 'Average'}","{'value': 3, 'description': 'Large (7-14)'}","{'value': 2, 'description': 'Moderately low'}","{'value': 2, 'description': 'In plosives alone'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 1, 'description': 'Contrast present'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'Simple'}","{'value': 3, 'description': 'Complex tone system'}","{'value': 1, 'description': 'All present'}","{'value': 3, 'description': 'Labial-velars'}","{'value': 1, 'description': 'Initial velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 5, 'description': 'No case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 2, 'description': 'Strongly suffixing'}","{'value': 1, 'description': 'No case marking'}","{'value': 3, 'description': 'Not syncretic'}","{'value': 1, 'description': 'No fixed stress'}","{'value': 7, 'description': 'Not predictable'}","{'value': 6, 'description': 'Lexical stress'}","{'value': 4, 'description': '6-7 categories per word'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 2, 'description': 'Dependent marking'}","{'value': 2, 'description': 'Dependent-marking'}","{'value': 2, 'description': 'Non-zero marking'}",,"{'value': 5, 'description': 'No rhythmic stress'}",
grk,Greek (Modern),39.0,22.0,Greek,Indo-European,"{'value': 3, 'description': 'Average'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 5, 'description': ""'Th' sounds""}","{'value': 3, 'description': 'No velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 2, 'description': 'Case + number'}","{'value': 3, 'description': 'TAM+agreement+diathesis'}","{'value': 2, 'description': 'Strongly suffixing'}","{'value': 3, 'description': 'Core and non-core'}","{'value': 3, 'description': 'Not syncretic'}","{'value': 5, 'description': 'Antepenultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 6, 'description': 'Lexical stress'}","{'value': 3, 'description': '4-5 categories per word'}","{'value': 3, 'description': 'Double marking'}","{'value': 3, 'description': 'Double marking'}","{'value': 3, 'description': 'Double-marking'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 3, 'description': 'No productive reduplication'}","{'value': 1, 'description': 'Trochaic'}",
grw,Greenlandic (West),64.0,-51.0,Eskimo,Eskimo-Aleut,"{'value': 3, 'description': 'Average'}","{'value': 1, 'description': 'Small (2-4)'}","{'value': 4, 'description': 'Moderately high'}","{'value': 3, 'description': 'In fricatives alone'}","{'value': 1, 'description': 'Other'}","{'value': 4, 'description': 'Uvular stops and continuants'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 4, 'description': '/l/ and lateral obstruent'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'No initial velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 2, 'description': 'Case + number'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 2, 'description': 'Strongly suffixing'}","{'value': 2, 'description': 'Core cases only'}","{'value': 3, 'description': 'Not syncretic'}","{'value': 7, 'description': 'Ultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 4, 'description': 'Long vowel or coda consonant'}","{'value': 3, 'description': '4-5 categories per word'}","{'value': 3, 'description': 'Double marking'}","{'value': 3, 'description': 'Double marking'}","{'value': 3, 'description': 'Double-marking'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 3, 'description': 'No productive reduplication'}","{'value': 4, 'description': 'Undetermined'}",
ghb,Guahibo,5.0,-69.0,Guahiban,Guahiban,"{'value': 2, 'description': 'Moderately small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 4, 'description': 'Missing /g/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}",,,"{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,,,,,,,,,,,,,,
gmb,Guambiano,2.5,-76.6666666667,Barbacoan,Barbacoan,"{'value': 2, 'description': 'Moderately small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}",,"{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,,,,,,,,,,,,,,
gua,Guaraní,-26.0,-56.0,Maweti-Guarani,Tupian,"{'value': 2, 'description': 'Moderately small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 3, 'description': 'In fricatives alone'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 1, 'description': 'Contrast present'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'Simple'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'No velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 5, 'description': 'No case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 6, 'description': 'Strong prefixing'}","{'value': 1, 'description': 'No case marking'}","{'value': 3, 'description': 'Not syncretic'}","{'value': 7, 'description': 'Ultimate'}","{'value': 8, 'description': 'Fixed stress (no weight-sensitivity)'}","{'value': 1, 'description': 'No weight'}","{'value': 3, 'description': '4-5 categories per word'}","{'value': 1, 'description': 'Head marking'}","{'value': 1, 'description': 'Head marking'}","{'value': 1, 'description': 'Head-marking'}","{'value': 2, 'description': 'Non-zero marking'}",,,
gwa,Gwari,9.5,7.0,Nupoid,Niger-Congo,"{'value': 3, 'description': 'Average'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Implosives only'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Complex'}","{'value': 3, 'description': 'Complex tone system'}","{'value': 1, 'description': 'All present'}","{'value': 3, 'description': 'Labial-velars'}",,,,,,,,,,,,,,,,,,
ga,Gã,5.66666666667,-0.166666666667,Ga-Dangme,Niger-Congo,"{'value': 4, 'description': 'Moderately large'}","{'value': 3, 'description': 'Large (7-14)'}","{'value': 3, 'description': 'Average'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 3, 'description': 'Complex tone system'}","{'value': 1, 'description': 'All present'}","{'value': 3, 'description': 'Labial-velars'}",,,,,,,,,,,,,,,,,,
